moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
polkachu.com,BITCANNA,1813573,1970-01-01T00:00:00Z,bcnavaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pxqv0cj,05D973AF34987D2B100B4429BE7603D50B2E4B5B,bcnavalcons1qhvh8te5np7jkyqtgs5muasr659juj6mvg76gd,XHCDdgldt+lubzZN7zpcX51P7+QOO1G93IzgrqHamJQ=
Stakely.io,BITCANNA,3706094,1970-01-01T00:00:00Z,bcnavaloper1gsq4dsxvgsswkgrsftz0k905rzjc0n2hv26xgj,46D296F905F6620AE0A20184F2E0204E8A0B2F78,bcnavalcons1gmffd7g97e3q4c9zqxz09cpqf69qktmc8zhnmc,lwP0ardSjleDASGc0MA/e383GpEfRzN5+A/LCEGr+ng=
Stake a Tree 🌲 Planting trees with profits,BITCANNA,62179,1970-01-01T00:00:00Z,bcnavaloper1t5g3n7wa9nlut4p8yu00sartvfe7q0g0zzsred,DC56E7B449B123093BA3B60ACB82BA98B5FD1C55,bcnavalcons1m3tw0dzfky3sjwarkc9vhq46nz6l68z4l6lank,yz3TEQA3JGcUQP0/jlnUxAdMh5Kbf7puE773253JT5s=
Oldcat,BITCANNA,65049,1970-01-01T00:00:00Z,bcnavaloper1s43h79qx6j85whr2p6060wvxjuyq9yqdak39dj,C842EF3F1B01217D5F842C32BD65C04F5C8A2F29,bcnavalcons1eppw70cmqysh6huy9set6ewqfawg5tefk4w4se,SbTSNx2qRq7CI3N7wAUrvaNDGM+R1jd/U1yY1Q2UVcA=
StakeLabz,BITCANNA,117619,1970-01-01T00:00:00Z,bcnavaloper1hd3d5hf8qujw5pgwtytdyhdux2tc64mm8wc0rz,4425125B013BC59372E1EA2B4489CD2113BF9CC2,bcnavalcons1gsj3ykcp80zexuhpag45fzwdyyfml8xzlqetj4,qediBJK7d3vWtVgrBaGVFeWAdzg1I9+tBgqVSPyKTeY=
StakeAngle,BITCANNA,36516,1970-01-01T00:00:00Z,bcnavaloper1h7f46zcfmpqtwluacc3rredr9udpgtpemdn4p8,8B8E9D70231478D3DE8F596A158DE9D19A3B5069,bcnavalcons13w8f6uprz3ud8h50t94ptr0f6xdrk5rfw3p73x,ZKbnTgjrB/i5CcaeTgZIDgJhZ+NJYhoT7QN8qYkNEaU=
Stakewolle.com | Auto-compound,BITCANNA,559845,1970-01-01T00:00:00Z,bcnavaloper1e8twck404wzkfm5sd064dl0ssse3haxau0nqf6,133EA430B90A170C76DE7D727357F3463EC025A6,bcnavalcons1zvl2gv9epgtscak704e8x4lngclvqfdxnm0qxt,9qTQ6o9ht1LeRRsxWo8MqHbBYxxlZZceNWI3/hrNy0I=
Stake.Works | Bitcanna,BITCANNA,68918,1970-01-01T00:00:00Z,bcnavaloper17y5htk2umkuutmuvsv32vz4akj0azhjugt0zsx,A26BC5933B79CFEDA529E5D01FB4A45B436C43D1,bcnavalcons15f4utyem0887mfffuhgpld9ytdpkcs734hpfp6,das68F/+9xHFxsqvpuaaOjiHf/nIx8zrIj1K0Wlkj1o=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
Stakecito,BITSONG,819153,1970-01-01T00:00:00Z,bitsongvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qdc2c27,6274A49CD0957E7C23E5C805AC4609C609250590,bitsongvalcons1vf62f8xsj4l8cgl9eqz6c3sfccyj2pvsu6x7sd,KSmKlo9V/mEef8jMXEJwmENG8WM3SPmzS2sdPM7Vh5Y=
Oldcat,BITSONG,122884,1970-01-01T00:00:00Z,bitsongvaloper1pqlxe507avzg2hq8ylcju037ywyh3myfsv9wln,86BEFCD21A14A6B72BA0C84D9F5AE01088889B59,bitsongvalcons1s6l0e5s6zjntw2aqepxe7khqzzyg3x6e9xqpsz,R+nUDraFl9GU6eT0BayQVuMzH9ftKJFDRQcCavCDpMg=
Stakewolle.com | 100% insurance,BITSONG,188760,2022-11-11T05:57:15.410591859Z,bitsongvaloper1pn6mhrwq8vdhns366jwxkggmhmxypuhrrc4huu,9934AA1BA3EC7FCF7E53C78ECE64C287C0FCAC3A,bitsongvalcons1ny625xara3lu7ljnc78vuexzslq0etp6ev3f3q,V9oFoGi7ENdjRpGh2D7BEdAlscgpkHfwxUszFKklg6k=
StakeCraft,BITSONG,477565,1970-01-01T00:00:00Z,bitsongvaloper1rgtyd3uj3m0rr684hy3590y3vjcm9enhamsm6r,4C03C0E7960DA2B9BBD0B7166BAA8FB4791DED40,bitsongvalcons1fspupeukpk3tnw7skutxh250k3u3mm2qdrhrr4,GrNI49zY/J1utjb0ZI1su2Z0xWrnUW7bcc/v+Dme//8=
StakeLab,BITSONG,2078298,2021-05-22T02:10:51.143243252Z,bitsongvaloper18wf0w252jxk3kgl5vlst8ttat8xzfnvejuftk2,81DF8A363460F9E165B8649FD78C66A7FB41689A,bitsongvalcons1s80c5d35vru7zedcvj0a0rrx5la5z6y6k348su,oWb5TsMacdZaG7hNfzvJZMjNnqakDAD733rxsYkmXp4=
Blockmachine,BITSONG,45694,1970-01-01T00:00:00Z,bitsongvaloper1f4z9xvfswjyss32d26z8v3ak5f97t74zj5c6ht,C4E6B7CAD2DB9CF40754E73B37B715284268890C,bitsongvalcons1cnnt0jkjmww0gp65uuan0dc49ppx3zgvw8s4m0,rkSTMvOzBSc4zi+VLQfOFHRXJw4hNixQz1PwERxEKOs=
Stake.Works | Bitsong,BITSONG,96361,1970-01-01T00:00:00Z,bitsongvaloper1sqw7f6vcs9wg9h9j0t05e592sg6y8eldcdq3vd,3B36C7D0003FC2570D5FCEE4907EEDE617033A4E,bitsongvalcons18vmv05qq8lp9wr2lemjfqlhductsxwjwahmkr5,DC3vOsBoVDF46ulibtvSWh3o245rLZqJg0wQTIO03Gk=
Citadel.one,BITSONG,1189771,1970-01-01T00:00:00Z,bitsongvaloper1knmj6ve4p4e2rl3wpj0rk9dswacr2swn75sc7a,7AB64AFB59D30B6F3ED0F7FD4D0FFEDFC4824E4B,bitsongvalcons102my476e6v9k70ks7l756rl7mlzgynjtemc2ua,xCiZzZAaFGmi8i2M7+ClaCRYZxmP7VsW05leFxCHrA4=
moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
StakeSteel,CERBERUS,47243548,2022-09-25T14:23:10.010366683Z,cerberusvaloper1putsxft4550wgjaac3g0x480wsn6aj58mkf8zz,96E7FBE813AED3F6A37D32C06B639CB787ADFE7D,cerberusvalcons1jmnlh6qn4mfldgmaxtqxkcuuk7r6mlna396v7h,0LV20V6ktvC7Fjnrwtk+P3NsySeGy/1EGpoNCoAAePw=
Stake a Tree 🌲 Planting trees with profits,CERBERUS,146793386,1970-01-01T00:00:00Z,cerberusvaloper1zenjnsd73e2tf2etplyavw9d0shr5q9zlfn5ug,471DE01A182611D3E7995BC6073D188A825EC168,cerberusvalcons1guw7qxscycga8euet0rqw0gc32p9astgqdu9g0,s9UhYH74LKbuBDVSFSNlVPhUUY14TReS0+A/AEy3Krg=
"Stake Frites (🥩 , 🍟)",CERBERUS,250842742,1970-01-01T00:00:00Z,cerberusvaloper1zl4vt84hya03e8hu7dx4q4cvn2ts2xdrrnnufr,4711BAAE7FCDCA2C93055D8BF81432E49FF71BB7,cerberusvalcons1gugm4tnleh9zeyc9tk9ls9pjuj0lwxahccj4zj,nCBzeArpmPoMIvma/pzbJt77zhNi9ohx9NqD04NnPUs=
Stakewolle.com |  Auto-compound,CERBERUS,503482573,2022-10-27T11:34:17.634186922Z,cerberusvaloper1xjgspyv73d3k3ewygu0v2gcwwplwxkxg03reqy,444D9274DD79CE65D2DD84601D5358AEAACD54F1,cerberusvalcons1g3xeyaxa088xt5kas3sp656c464v64833908rm,qKq0/Hhv+Bz2K3LztXG957a/opNUj2TT5gUa237aOqc=
polkachu.com,CERBERUS,1018530175,1970-01-01T00:00:00Z,cerberusvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pvm8q9p,3EBC56B5EC8223B47FB51024BAE511DBF3C81B2A,cerberusvalcons18679dd0vsg3mgla4zqjt4eg3m0eusxe2582xc0,klTrZVKGLcf/maBXxHGBJUMYIiRGpaFQmgkv50v1Jik=
