chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
DESMOS,31,1105449864824,1970-01-01T00:00:00Z,Stakin,desmosvaloper1567u3n4q6j0zm5mkgtqu9t7eq4g5pr5se74mr9,F8E47AC7C03F602EF5E6D5CDD57B70D57A13CE3C
DESMOS,10,2237944251779,1970-01-01T00:00:00Z,StakeLab,desmosvaloper1lzzctd3a839xxk7vf4cwuhcvgcnmxrhrx7d92e,90CF5A18F870B6E16301B5E42EEDD489F26DF135
DESMOS,50,663683495934,1970-01-01T00:00:00Z,Oldcat,desmosvaloper1d6xe3ldswgaurszrp3emspvhspvu7hxm4ty8mv,231A63C20E3CAB4536845DEC97FA7BDC781DC24D
DESMOS,25,1344248911814,1970-01-01T00:00:00Z,Stakely.io,desmosvaloper1s5gnmccngltteh6ugtsz7fdrykc294tnw2e7pz,9D28DAA4A8A15BA6F3A99BC10465C901BC0617E3
DESMOS,27,1171916370769,1970-01-01T00:00:00Z,Bro_n_Bro,desmosvaloper1sykf8q94l8q8mqstf64ptuvp74ueyehxpgcq76,F5CC040F4BF0FE47CDAFE4AC10BED2971E1D3C48
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
EMONEY,35,490246428321,2021-09-15T04:41:49.902002895Z,Stakin,emoneyvaloper1tw0qj9nuqx8nhn9d0zup64navtc0c4hds9sjwx,00D05092E7372CA2CC317E3F3AC449BD13994917
EMONEY,14,794706067662,1970-01-01T00:00:00Z,Citadel.one,emoneyvaloper19aas63km0rq96dtuuvjkn76nyyj67qre477gt3,0204D1FC9DFCE756B2B995CE6AA25D9DCE069063
EMONEY,52,332668038699,2021-09-20T14:40:23.048315705Z,BlockHunters,emoneyvaloper1ss7vkqzfal7h4m8ug8lh8peqqyt7vq3ssadctg,546B5AE051CFD509BE77E579B276E3E9D64BADF6
EMONEY,21,635777721988,1970-01-01T00:00:00Z,StakeLab,emoneyvaloper1fskgtauswg2d0p79d9gdqj2yjyfulg3d65dtue,59E632F617F71507561AE1095FB19653E7503128
EMONEY,70,266229411292,1970-01-01T00:00:00Z,StakeLabz,emoneyvaloper1u7t7amu8thf33f7cq0xmunxvgpnnd9qlsu5nra,20CCE049D8A0603733FBF642F03A22DC67726A1F
EMONEY,6,1263428522354,1970-01-01T00:00:00Z,Bro_n_Bro,emoneyvaloper149vyxd36kxpg46rralaw6eejv4d9daqc3nv642,72DD91F0F6491F2AD645904FA6B2D4C59DE08799
EMONEY,53,327561377513,1970-01-01T00:00:00Z,AutoStake 🛡️ Slash Protected,emoneyvaloper1z0cwp2wezmaehlhzdmqpx55vhxupuk52d7ucjy,B3CA47EB7725DC2DF75BC54530718709559BE4E2
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
EVMOS,91,242230348566739513054870,1970-01-01T00:00:00Z,BlockHunters 🎯,evmosvaloper15n2ms99yx2lycwk0msmtlj9yxhtlmqeymtg4c3,59AD2C2DDDF4C395148CEF15C15E14166034A589
