chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
BAND,AutoStake  S,bandvalcons19mzjepqm45ny24f35yvz9359a89cwjj68sc6wa,0,20462316,2020-10-22T11:05:34.940659726Z,False,127
BAND,,bandvalcons1xym95mwjhw3vd7tem3vyaz2jnu32s4tqzfwt9x,0,2,2021-12-03T11:15:57.858624884Z,False,2
BAND,,bandvalcons1x2yt9mhewxhk8s33xgx5fut8g0ntd76n4sd4k8,0,103452,2022-07-19T17:48:49.775089043Z,False,8892
BAND,TaiPanich,bandvalcons1xcn2mffnntk6gv7uwm2yj4zv5zvrfkh8hsm5rs,0,11913630,2021-08-21T23:08:17.954234535Z,False,2914
BAND,,bandvalcons1xche8m788u9awsuz0fdzfd8y4amx3ka3k0yvh8,3621983,2,2022-04-14T21:15:31.749864269Z,False,2
BAND,BandJediTeam,bandvalcons1gxsg8cf8n0tp7kjcacc25d09jgn84p9a2rx4aj,0,15873257,2021-04-10T13:17:38.927367991Z,False,34
BAND,,bandvalcons1g5s35dvg385nxrwekzxsdnc6a2524teu37m83v,156772,2,2022-01-17T11:57:30.974089248Z,False,2
BAND,,bandvalcons1frgqmu540lfk58xdp6z6ahrdrwv0wv3yjjk7av,0,2,2020-11-12T00:43:25.148756030Z,False,2
BAND,,bandvalcons1fwuje9d82pla4ygjgkh8qplh7f0edp6vlgnvvs,0,1810297,2020-08-18T10:39:54.941332436Z,False,435
BAND,,bandvalcons1f7gjn0qnh8z98r28thha8fmvjuac69up42g2uz,0,2,2021-02-08T12:58:20.499748492Z,False,2
BAND,,bandvalcons12he3uktqk720a35vre688crd0sr0qzemurjktx,0,2,2020-12-08T23:35:31.805497410Z,False,2
BAND,,bandvalcons1tqt9snjs6g5ffxju8hxrp8d0hvucyphkqhqqxs,0,2,2020-08-12T01:30:36.906498447Z,False,2
BAND,,bandvalcons1tzyvvsfm7yyms8w2p6wun5dvwf5rxu5zn67t0f,3365786,2,2022-11-03T11:29:52.737881990Z,False,2
BAND,,bandvalcons1trrxlwv0222husar3cnugupjgafm303rfzeu7p,748605,2,2022-07-22T08:12:37.213207853Z,False,2
BAND,,bandvalcons1t8yv5nhyemx4ct5gstrla9qzvyzl02njd0d8vt,2756058,2,2022-02-01T05:07:46.321376432Z,False,2
BAND,,bandvalcons1vzdhamjctf5ryftldw86qmgpcvj8ftd6ldenj4,6762773,25577,2022-05-30T11:21:57.895591828Z,False,648
