chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
ASSETMANTLE,Foundation Node,mantlevalcons1qepw36jwkmkyrt32sjg23n5hfurtumdzvxx4ez,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1p8c2gkpv2fapwmj39z8lz98qgtwef0ekpxe8g2,2613416,17739,2022-10-14T08:41:28.050707469Z,False,1
ASSETMANTLE,ECO Stake,mantlevalcons1z9ys2xsmyf5s40zrdhkv2ndjrgcy3rdemch3hg,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,BitNordic.com,mantlevalcons1zju03kxx8h9amja7f28zvz5d3vvccnusa8kjqa,456,3091085,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,azstake,mantlevalcons1zl9vsdawuxwdzvfdx96m5x9ysm872pf5pj2r9u,215,3092801,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,blockscape,mantlevalcons1r93t830n4vd7fzfe34tl8x4nct8zrvghq2myjr,1762124,1253698,1970-01-01T00:00:00Z,False,41
ASSETMANTLE,uGaenn,mantlevalcons1rxuc38zz2fsvnpfdmfulzxhfgj86xmrgfjuxwj,1287,3091729,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Meerlabs,mantlevalcons1rgqy3cwaqtxczgrxghj4u4rne0qhm4hsm6fjwf,1085,1127535,2022-08-29T18:55:07.717642476Z,False,0
ASSETMANTLE,79anvi,mantlevalcons1rv3kwesmdntuu4hj53v6w5uwr6gavuea5fvjmy,0,390769,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Foundation Node,mantlevalcons19t48xmdp3g47pp5jplzrjadhh92zrl6ykn6cdq,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Forbole,mantlevalcons19vuqucwx87w5lremhxln0xaue5wxwmltr5w69t,941391,2151625,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,"Frens (,)",mantlevalcons1xtw4hh0w9rre27n38t87ypz8yj573pknwa2ark,0,3090889,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,D-stake,mantlevalcons1xwtlmsq9aaha9wl0d7zxtpspl33lys8uy4q63w,0,1436201,1970-01-01T00:00:00Z,False,157
ASSETMANTLE,Nodes.Guru,mantlevalcons1x4wf3fkqlazx4wgvj9h8nhj6drkzr4r575fjd4,0,3081975,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1xhsug830z9nmkf3wtqe8sas7x2jyupqd6yevdq,2613416,99008,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,P2P.ORG Validat,mantlevalcons18kltcntzu6um5hhfwvv2tsnj2e42entplz0nu2,616406,2476610,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Imperator.co,mantlevalcons1gr054h6sknsg4tsf3arsd8sw7xesznekkfr23n,0,3091397,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,duality,mantlevalcons1gjmkhs9fqqyuntm9t3fspx4e8eywx4u0vr6vn9,0,2932863,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Cosmic Validato,mantlevalcons1gctr2jwppja2m52hydlkme2yswxzrv9vty5jwf,1041797,928665,1970-01-01T00:00:00Z,False,60
ASSETMANTLE,StakerHouse,mantlevalcons1gugc5c0puqtkcq26yyd68wy5pmp29rzd8caxzf,13210,3079806,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,carbonZERO,mantlevalcons1galemnrzk7ms9ngcngtxjhhz5jgnwlgv3he9tq,1763478,1323025,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,InfStones,mantlevalcons1fr09a0mgsvptedk8gzy9xfcms02l4ztrw88wr8,1762124,1330892,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1fvhd7jepdcdtcnsh2u4h9fz892v24w8v5qlr39,0,1027,1970-01-01T00:00:00Z,False,1027
ASSETMANTLE,IBCNFTs.com,mantlevalcons1f42rd4dur97gjptdrtj8dc4x598yj3vmw02kcd,2213206,879810,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,2xStake.com -,mantlevalcons1fm8hqy64y5z743lruqzjxh7056e7x575sd0f36,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,NodeStake,mantlevalcons12nt7c6j3ml7dk9u2flqdhm8sjzwlhgwp4pn6ns,333,2812816,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Illuminati,mantlevalcons12ce9c0m5jtdyn3qwmxu4z882uehp92wwjuug8d,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Blockpower,mantlevalcons1tswltapu2uyvkt3qgaag0evkcngxuw8wemh8sr,2885231,207785,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1t6324lh8h5v2gulylcgex55yqq4dr6esqlc4pq,0,557712,1970-01-01T00:00:00Z,False,47
ASSETMANTLE,Blockscope.net,mantlevalcons1vpjlg3hr5kr7ltmsma8a4wzpf8z5gr75z96jyw,0,3091418,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Cosmostation,mantlevalcons1v2qjatjua0llel36jpjj5xdgpz6ef77f8y2lt8,0,3091159,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1v2ap5e457kkx6fu5s5u0dhv3q28kd3cfppvnac,1338272,147245,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,polkachu.com,mantlevalcons1vwc7nw0rx4xv99ljm34r0rfyx6y49pc8hnt4as,1684,1518996,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Enigma,mantlevalcons1dp9u2tagtm4rnyvqsxmn2qn9uj3u7mhhdnve4f,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1dtugnay5z72nfhjkv44acql52dm0w4l0rpgu49,0,2192,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Cypher Core,mantlevalcons1ddxxs79pycuwggrqtzg977rk7g25eudag7a6up,305,2946795,1970-01-01T00:00:00Z,False,3
ASSETMANTLE,POSTHUMAN  DVS,mantlevalcons1ddjlzwchrflchhef6f8d9cqx6gd003mg2nvh7r,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,EZStaking.io,mantlevalcons1d0lzp7uztmeap54p7f0ssuuara7vm94zslw7zz,2438,3090578,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1d72ysj269607g03je55ma7k8zznceall4uvqlv,0,1029807,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Zenscape,mantlevalcons1wpdrm4ch2mk7wyxp7ppe6znkusvgswn3enuhax,0,3090686,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Allnodes.com,mantlevalcons1wgjavds09flzx52pp23j7a6hjth3df422d308n,1700091,1374091,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,StakeLab,mantlevalcons1wfwd00vj5m3gzu396mx3d0ef44gv2sd8x47l46,2293,3090723,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1wa8squ6resfmsrznlg2e49530fls8wx63v6xxp,3045,10165,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1walugev9jg8dslrrq4z486tlfhus8pjg2m7qh5,0,2637,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons10uhvkpuzz3gl7cdyfah50v7ph509s288kjls4h,2641993,16736,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,SmartNodes,mantlevalcons1sf3rfpcfdftw846utd39kjt69wr59yxpr3pkk4,441890,2651126,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Cros-Nest,mantlevalcons1sveek4uu2ycfg9244fqp406l3a9x0ztr2psumw,0,3092978,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1sext3a70p5a7aw05dkw2an2pe3ydvyutdtadrl,2149,10418,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1jpx5a6t2mzrp75phz6yk08azjx89p9jva42vxt,0,1082,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Foundation Node,mantlevalcons1jexnx2dvsvv0jarajjl7eh25ndwdgwfq9p4563,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,,mantlevalcons1ja4wunqtphl9tqrr4z7u70v6r4jzanx0wk36kq,0,1950546,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Validator.run |,mantlevalcons1nqtsg77hnehvf00p3lc5rvx822ap9fy6ytfzgs,0,3093017,1970-01-01T00:00:00Z,False,11
ASSETMANTLE,,mantlevalcons1nq5x0ulpyfpaep2pvwljtgn6v35tqmzeswhtv6,0,2001,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Cybernodes,mantlevalcons15ygx3c2mz3hehlecrdncpenh9ukn0dk5fxeeqd,2613416,453190,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,BotDotNet,mantlevalcons159p9kdnytk72wytxm8356xkzt98hxhsf50fsh4,0,3093017,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Colinka,mantlevalcons15gj782ka4q4s5h958jpy4l0lhgfpufe0dgs8ql,0,3092491,1970-01-01T00:00:00Z,False,0
ASSETMANTLE,Kalia Network,mantlevalcons155gn3wv0fnl5gk0tg4pct9eygdc7kjtaqky24s,3221,3089795,1970-01-01T00:00:00Z,False,3
ASSETMANTLE,,mantlevalcons15m65qlwaam6q3d3z5xj53fkrxhajudr3lsed64,671,2,2022-10-14T07:52:58.150488696Z,False,2
ASSETMANTLE,,mantlevalcons14z6879fzuwjfgw59r9989lejreq5dvdg8kuq2s,0,2000226,1970-01-01T00:00:00Z,False,1
